#1
#1
#1
$3495	24034951
$3533	24035330
$3593	24035934
$3600	24036009
$446	24004466
$822	24008228
$946	24009461
$947	24009478
$1257	24012577
$1258	24012584
$1261	24012614
$1262	24012621
$1265	24012652
$1268	24012683
$1424	24014243
$1428	24014281
$2947	24029476
$3213	24032131
$3214	24032148
$3215	24032155
$3216	24032162
$3217	24032179
$3218	24032186
$3219	24032193
$3220	24032209
$3221	24032216
$3222	24032223
$3223	24032230
$3224	24032247
$3225	24032254
$3226	24032261
$3227	24032278
$3228	24032285
$3229	24032292
$3230	24032308
$3231	24032315
$3232	24032322
$3233	24032339
$3234	24032346
$3235	24032353
$3236	24032360
$3237	24032377
$3238	24032384
$3239	24032391
$3240	24032407
$3241	24032414
$3242	24032421
$3243	24032438
$3244	24032445
$3245	24032452
$3246	24032469
$3247	24032476
$3248	24032483
$3249	24032490
$3250	24032506
$3251	24032513
$3252	24032520
$3253	24032537
$3254	24032544
$3255	24032551
$3256	24032568
$3257	24032575
